"Time","переезд из россии","второе гражданство","релокация"
"2021-04-01",9,7,11
"2021-05-01",9,10,12
"2021-06-01",8,4,11
"2021-07-01",11,6,12
"2021-08-01",8,9,13
"2021-09-01",9,8,11
"2021-10-01",9,6,9
"2021-11-01",13,7,10
"2021-12-01",12,7,7
"2022-01-01",14,9,14
"2022-02-01",28,14,29
"2022-03-01",44,26,97
"2022-04-01",17,17,58
"2022-05-01",11,12,44
"2022-06-01",13,9,40
"2022-07-01",10,9,61
"2022-08-01",9,12,39
"2022-09-01",34,20,100
"2022-10-01",18,16,72
"2022-11-01",14,14,61
"2022-12-01",12,8,41
"2023-01-01",13,11,48
"2023-02-01",11,11,37
"2023-03-01",9,9,34
"2023-04-01",11,13,36
"2023-05-01",8,10,31
"2023-06-01",9,11,37
"2023-07-01",11,12,41
"2023-08-01",10,13,38
"2023-09-01",7,9,31
"2023-10-01",5,12,38
"2023-11-01",7,11,25
"2023-12-01",7,9,24
"2024-01-01",8,10,27
"2024-02-01",11,7,31
"2024-03-01",13,9,29
"2024-04-01",7,13,24
"2024-05-01",10,9,27
"2024-06-01",7,10,24
"2024-07-01",13,11,28
"2024-08-01",12,13,30
"2024-09-01",10,14,21
"2024-10-01",9,13,26
"2024-11-01",11,11,27
"2024-12-01",8,12,19
"2025-01-01",13,13,28
"2025-02-01",6,9,22
"2025-03-01",9,9,21
"2025-04-01",7,9,23
"2025-05-01",8,11,21
"2025-06-01",8,10,22
"2025-07-01",11,18,29
"2025-08-01",11,13,28
"2025-09-01",11,15,19
"2025-10-01",14,9,23
"2025-11-01",18,16,23
"2025-12-01",19,14,24
"2026-01-01",17,14,24
"2026-02-01",28,21,27
"2026-03-01",42,21,40
"2026-04-01",44,20,37
